Файл данных опроса от 11:20:21 15.02.2021
Прибор № 4 (адрес - 4)
Addr: 4 ; Command: 1 ; Pressure: -100,7800000 kPa ; Time: 11:23:41.872 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7799000 kPa ; Time: 11:23:42.876 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7776000 kPa ; Time: 11:23:43.864 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7776000 kPa ; Time: 11:23:44.879 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7776000 kPa ; Time: 11:23:45.884 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7776000 kPa ; Time: 11:23:46.903 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7776000 kPa ; Time: 11:23:47.905 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7788000 kPa ; Time: 11:23:48.895 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7788000 kPa ; Time: 11:23:49.901 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7793000 kPa ; Time: 11:23:50.887 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7782000 kPa ; Time: 11:23:51.908 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7759000 kPa ; Time: 11:23:52.913 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7782000 kPa ; Time: 11:23:53.951 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7787000 kPa ; Time: 11:23:54.951 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7782000 kPa ; Time: 11:23:55.946 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7782000 kPa ; Time: 11:23:56.946 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7787000 kPa ; Time: 11:23:57.946 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7793000 kPa ; Time: 11:23:58.949 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7805000 kPa ; Time: 11:23:59.970 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7799000 kPa ; Time: 11:24:00.943 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7787000 kPa ; Time: 11:24:01.963 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7793000 kPa ; Time: 11:24:02.961 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7804000 kPa ; Time: 11:24:03.952 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7787000 kPa ; Time: 11:24:04.952 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7781000 kPa ; Time: 11:24:05.958 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7810000 kPa ; Time: 11:24:06.961 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7798000 kPa ; Time: 11:24:07.975 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7798000 kPa ; Time: 11:24:08.979 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7798000 kPa ; Time: 11:24:09.983 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7781000 kPa ; Time: 11:24:10.986 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7821000 kPa ; Time: 11:24:12.000 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7821000 kPa ; Time: 11:24:13.008 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7792000 kPa ; Time: 11:24:14.030 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7781000 kPa ; Time: 11:24:15.017 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7815000 kPa ; Time: 11:24:16.036 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7792000 kPa ; Time: 11:24:17.039 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7769000 kPa ; Time: 11:24:18.062 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7753000 kPa ; Time: 11:24:19.067 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7786000 kPa ; Time: 11:24:20.088 ; Date: 15.02.2021
