Файл данных опроса от 11:20:21 15.02.2021
Прибор № 2 (адрес - 2)
Addr: 2 ; Command: 1 ; Pressure: 1,7228620 kPa ; Time: 11:23:47.595 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7228390 kPa ; Time: 11:23:48.581 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7240980 kPa ; Time: 11:23:49.584 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7234650 kPa ; Time: 11:23:50.591 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7252430 kPa ; Time: 11:23:51.597 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7257770 kPa ; Time: 11:23:52.602 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7257690 kPa ; Time: 11:23:53.623 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7246320 kPa ; Time: 11:23:54.636 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7252040 kPa ; Time: 11:23:55.634 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7251890 kPa ; Time: 11:23:56.635 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7257460 kPa ; Time: 11:23:57.632 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7251820 kPa ; Time: 11:23:58.636 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7240140 kPa ; Time: 11:23:59.643 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7209930 kPa ; Time: 11:24:00.631 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7233730 kPa ; Time: 11:24:01.636 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7227400 kPa ; Time: 11:24:02.647 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7204280 kPa ; Time: 11:24:03.639 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7197650 kPa ; Time: 11:24:04.637 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7186510 kPa ; Time: 11:24:05.644 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7186280 kPa ; Time: 11:24:06.646 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7204130 kPa ; Time: 11:24:07.662 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7204130 kPa ; Time: 11:24:08.666 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7197800 kPa ; Time: 11:24:09.654 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7203980 kPa ; Time: 11:24:10.673 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7204130 kPa ; Time: 11:24:11.687 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7197650 kPa ; Time: 11:24:12.693 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7191930 kPa ; Time: 11:24:13.716 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7197490 kPa ; Time: 11:24:14.704 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7203670 kPa ; Time: 11:24:15.722 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7197340 kPa ; Time: 11:24:16.726 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7203600 kPa ; Time: 11:24:17.748 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7191470 kPa ; Time: 11:24:18.753 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7191240 kPa ; Time: 11:24:19.773 ; Date: 15.02.2021
